# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
1885,1885-11-26,Pennsylvania,10,Princeton (NJ),76
1885,1885-11-28,Johns Hopkins (MD),0,Swarthmore (PA),16
1885,1886-06-05,Albion (MI),79,Michigan St.,0
1886,1886-08-25,Albion (MI),9,Michigan St.,2
1886,1886-08-25,Brown (RI),6,Boston (MA),10
1886,1886-08-25,Hanover (IN),4,Wabash (IN),22
1886,1886-10-09,Lehigh (PA),4,Pennsylvania,26
1886,1886-10-09,Princeton (NJ),58,Stevens Tech (NJ),0
1886,1886-10-13,Amherst (MA),15,Massachusetts,5
1886,1886-10-13,Lafayette (PA),20,Swarthmore (PA),12
1886,1886-10-13,Princeton (NJ),61,Stevens Tech (NJ),6
1886,1886-10-16,Albion (MI),0,Michigan,50
1886,1886-10-16,Harvard (MA),44,Stevens Tech (NJ),0
1886,1886-10-16,Lafayette (PA),24,Rutgers (NJ),2
1886,1886-10-16,Pennsylvania,0,Princeton (NJ),30
1886,1886-10-20,Lafayette (PA),12,Pennsylvania,0
1886,1886-10-20,Yale (CT),54,Stevens Tech (NJ),0
1886,1886-10-23,Lafayette (PA),5,Stevens Tech (NJ),0
1886,1886-10-23,Pennsylvania,9,Princeton (NJ),55
1886,1886-10-30,Albion (MI),0,Michigan,24
1886,1886-10-30,Dartmouth (NH),0,Harvard (MA),70
1886,1886-10-30,Lafayette (PA),10,Pennsylvania,20
1886,1886-10-30,Lehigh (PA),0,Stevens Tech (NJ),0
1886,1886-11-06,Lafayette (PA),12,Lehigh (PA),0
1886,1886-11-06,Pennsylvania,6,Princeton (NJ),28
1886,1886-11-10,Pennsylvania,65,Rutgers (NJ),0
1886,1886-11-13,Hanover (IN),11,Butler (IN),2
1886,1886-11-13,Harvard (MA),0,Princeton (NJ),12
1886,1886-11-13,Johns Hopkins (MD),0,Navy (MD),6
1886,1886-11-13,Lehigh (PA),14,Stevens Tech (NJ),0
1886,1886-11-13,Pennsylvania,0,Yale (CT),75
1886,1886-11-17,Lafayette (PA),26,Rutgers (NJ),10
1886,1886-11-18,Lehigh (PA),28,Pennsylvania,0
1886,1886-11-20,Harvard (MA),4,Yale (CT),29
1886,1886-11-20,Lafayette (PA),58,Stevens Tech (NJ),0
1886,1886-11-24,Lafayette (PA),4,Lehigh (PA),0
1886,1886-11-25,Harvard (MA),28,Pennsylvania,0
1886,1886-11-25,Johns Hopkins (MD),14,Navy (MD),15
1886,1886-11-25,Princeton (NJ),0,Yale (CT),0
1887,1887-08-25,Hanover (IN),10,Butler (IN),8
1887,1887-08-25,Hanover (IN),12,Wabash (IN),10
1887,1887-10-08,Lafayette (PA),0,Princeton (NJ),47
1887,1887-10-08,Lehigh (PA),24,Swarthmore (PA),0
1887,1887-10-08,Rutgers (NJ),26,Stevens Tech (NJ),0
1887,1887-10-12,Princeton (NJ),30,Rutgers (NJ),0
1887,1887-10-15,Lafayette (PA),20,Rutgers (NJ),0
1887,1887-10-15,Lehigh (PA),0,Princeton (NJ),80
1887,1887-10-19,Pennsylvania,0,Princeton (NJ),57
1887,1887-10-19,Rutgers (NJ),5,Stevens Tech (NJ),2
1887,1887-10-22,Amherst (MA),0,Harvard (MA),98
1887,1887-10-22,Dartmouth (NH),4,Stevens Tech (NJ),4
1887,1887-10-22,Lafayette (PA),31,Swarthmore (PA),6
1887,1887-10-22,Pennsylvania,0,Princeton (NJ),42
1887,1887-10-25,Amherst (MA),10,Massachusetts,0
1887,1887-10-26,Amherst (MA),0,Dartmouth (NH),52
1887,1887-10-26,Amherst (MA),22,Boston (MA),0
1887,1887-10-29,Butler (IN),48,Purdue (IN),6
1887,1887-10-29,Lafayette (PA),4,Lehigh (PA),10
1887,1887-10-29,Pennsylvania,0,Yale (CT),50
1887,1887-11-02,Pennsylvania,13,Rutgers (NJ),10
1887,1887-11-05,Pennsylvania,0,Princeton (NJ),95
1887,1887-11-05,Worcester Tech (MA),10,Massachusetts,0
1887,1887-11-06,Yale (CT),74,Rutgers (NJ),0
1887,1887-11-12,Albion (MI),0,Michigan,32
1887,1887-11-12,Bucknell (PA),0,Penn St.,54
1887,1887-11-12,Harvard (MA),12,Princeton (NJ),0
1887,1887-11-12,Lafayette (PA),36,Rutgers (NJ),0
1887,1887-11-12,Lehigh (PA),4,Pennsylvania,6
1887,1887-11-16,Lafayette (PA),20,Pennsylvania,0
1887,1887-11-19,Bucknell (PA),0,Penn St.,24
1887,1887-11-19,Harvard (MA),42,Pennsylvania,0
1887,1887-11-19,Princeton (NJ),0,Yale (CT),12
1887,1887-11-23,Lafayette (PA),6,Lehigh (PA),0
1887,1887-11-23,Michigan,8,Notre Dame (IN),0
1887,1887-11-24,Amherst (MA),16,Stevens Tech (NJ),6
