# One (school, season) record. Hand-maintained — no automated process writes here.
#   source=history       per-season W-L-T. Covers 1936->present for every program,
#     plus 1869-1935 wherever game-level records survive (every game in which one
#     side is a current FBS program contributes a W / L / T; a tie for both sides
#     on equal scores). Sparse before ~1905, so those early totals sit below the book.
#   source=ncaa          one row (1935) per program in _staging_wins_ncaa.csv; sized so the
#     all-time OFFICIAL total (as-played minus wins_vacated) matches the NCAA "FBS
#     Records" book through its `through` year, with the live current season on top.
#   source=ncaa-history  per-season rows from a program's NCAA stats.org team
#     history page (stats.ncaa.org/teams/history), used where we hold no game-level
#     data and the program is not in the FBS Records book (Jacksonville St., Sam
#     Houston, Missouri St. — their full pre-2003 record).
#   source=manual        any hand rows.
# A tie counts as half a win in win %.
# wins_vacated / losses_vacated: NCAA-vacated results - removed only in the
#   "NCAA official" wins toggle; the trajectory and default view use as-played.
school,season,wins,losses,ties,wins_vacated,losses_vacated,vacated_note,source
# --- 6 programs added Aug 2026 (JMU, Jax State, Sam Houston, Kennesaw, Delaware, Missouri State) ---
# Per-season 2003-2025 rows; a few clearly-partial seasons hand-corrected (Jax State 2013, Sam Houston 2008 & 2022).
# The season=1935 row is a pre-2003 all-time LUMP (W-L-T) from published program records —
#   VERIFY against each media guide. Kennesaw State (football since 2015) needs no lump.
Alabama,1965,9,1,1,,,,history
Alabama,1966,11,0,0,,,,history
Alabama,1967,8,2,1,,,,history
Alabama,1968,8,3,0,,,,history
Alabama,1969,6,5,0,,,,history
Alabama,1970,6,5,1,,,,history
Alabama,1971,11,1,0,,,,history
Alabama,1972,10,2,0,,,,history
Alabama,1973,11,1,0,,,,history
Alabama,1974,11,1,0,,,,history
Alabama,1975,11,1,0,,,,history
Alabama,1976,9,3,0,,,,history
Alabama,1977,11,1,0,,,,history
Alabama,1978,11,1,0,,,,history
Alabama,1979,12,0,0,,,,history
Alabama,1980,10,2,0,,,,history
Alabama,1981,9,2,1,,,,history
Alabama,1982,8,4,0,,,,history
Alabama,1983,8,4,0,,,,history
Alabama,1984,5,6,0,,,,history
Alabama,1985,9,2,1,,,,history
Alabama,1986,10,3,0,,,,history
Alabama,1987,7,5,0,,,,history
Alabama,1988,9,3,0,,,,history
Alabama,1989,10,2,0,,,,history
Alabama,1990,7,5,0,,,,history
Alabama,1991,11,1,0,,,,history
Alabama,1992,13,0,0,,,,history
Alabama,1993,9,3,1,,,,history
Alabama,1994,12,1,0,,,,history
Alabama,1995,8,3,0,,,,history
Alabama,1996,10,3,0,,,,history
Alabama,1997,4,7,0,,,,history
Alabama,1998,7,5,0,,,,history
Alabama,1999,10,3,0,,,,history
Alabama,2000,3,8,0,,,,history
Alabama,2001,7,5,0,,,,history
Alabama,2002,10,3,0,,,,history
Alabama,2003,4,9,0,,,,history
Alabama,2004,6,6,0,,,,history
Alabama,2005,10,2,0,10,0,Shula; 9 reg + 2006 Cotton Bowl,history
Alabama,2006,6,7,0,6,0,Shula,history
Alabama,2007,7,6,0,5,0,Saban,history
Alabama,2008,12,2,0,,,,history
Alabama,2009,14,0,0,,,,history
Alabama,2010,10,3,0,,,,history
Alabama,2011,12,1,0,,,,history
Alabama,2012,13,1,0,,,,history
Alabama,2013,11,2,0,,,,history
Alabama,2014,12,2,0,,,,history
Alabama,2015,14,1,0,,,,history
Alabama,2016,14,1,0,,,,history
Alabama,2017,13,1,0,,,,history
Alabama,2018,14,1,0,,,,history
Alabama,2019,11,2,0,,,,history
Alabama,2020,13,0,0,,,,history
Alabama,2021,13,2,0,,,,history
Alabama,2022,11,2,0,,,,history
Alabama,2023,12,2,0,,,,history
Alabama,2024,9,4,0,,,,history
Alabama,2025,11,4,0,,,,history
Appalachian State,1935,415,200,22,,,,ncaa
Appalachian State,1936,0,0,0,,,,history
Appalachian State,1937,0,0,0,,,,history
Appalachian State,1938,0,0,0,,,,history
Appalachian State,1939,0,0,0,,,,history
Appalachian State,1940,0,1,0,,,,history
Appalachian State,1941,0,0,0,,,,history
Appalachian State,1942,0,0,0,,,,history
Appalachian State,1945,0,0,0,,,,history
Appalachian State,1946,0,0,0,,,,history
Appalachian State,1947,0,0,0,,,,history
Appalachian State,1948,0,0,0,,,,history
Appalachian State,1949,0,0,0,,,,history
Appalachian State,1950,0,0,0,,,,history
Appalachian State,1951,0,0,0,,,,history
Appalachian State,1952,0,0,0,,,,history
Appalachian State,1953,0,0,0,,,,history
Appalachian State,1954,0,0,0,,,,history
Appalachian State,1955,0,0,0,,,,history
Appalachian State,1956,0,0,0,,,,history
Appalachian State,1957,0,0,0,,,,history
Appalachian State,1958,0,0,0,,,,history
Appalachian State,1959,0,0,0,,,,history
Appalachian State,1960,0,0,0,,,,history
Appalachian State,1961,0,0,0,,,,history
Appalachian State,1962,0,0,0,,,,history
Appalachian State,1963,0,0,0,,,,history
Appalachian State,1964,0,0,0,,,,history
Appalachian State,1965,0,0,0,,,,history
Appalachian State,1966,0,0,0,,,,history
Appalachian State,1967,0,0,0,,,,history
